Principle,UserFeedback
外部驗證過程,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：外部驗證過程 ⏩ 外部驗證過程
醫院原始說明草稿：
""• 驗證資料不含於原始訓練、測試資料中。
• 與多個不同場域合作，包含醫院與照護機構（測試不同環境與病患群體，如健康、長期臥床、失智症等）。""
專家真實審查意見：
""需說明資料來源，數量，地域，其他特性""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
更新與持續驗證計畫,"【審查專家真實退件與修正案例】
填報醫院：新北仁康醫院
AI模型：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
項目：更新和持續驗證或公平性評估計畫 ⏩ 更新與持續驗證計畫
醫院原始說明草稿：
""開發團隊每一至二年以人體臨床試驗收集新樣本進行效能評估與訓練，以確保效能維持水準。若發現模型效能下降低於原經主管機關核定之效能，則立即通報機構端建請停用，待模型重新訓練並通過內部／外部驗證後方得恢復使用。""
專家真實審查意見：
""1. 需定義合理而且確定之更新周期
2. 需具體說明原先所規範之效能閾值
3. 那一個機構？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
更新與持續驗證計畫,"【審查專家真實退件與修正案例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型：氣管內管位置異常警示系統
項目：版本更新計畫 ⏩ 更新與持續驗證計畫
醫院原始說明草稿：
""因臨床需求、醫療指引更新、模型效能變化或其他因素需進行版本更新，將依本院《人工智慧模型臨床應用部署作業辦法》提出「人工智慧模型異動申請」，完成模型重新訓練、效能驗證及相關測試，並提送智慧醫療委員會審查。""
專家真實審查意見：
""需針對本軟體有具體之更新計畫，說明更新周期，或其他啟動時機""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
量化表現指標,"【審查專家真實退件與修正案例】
填報醫院：財團法人私立高雄醫學大學附設中和紀念醫院
AI模型：氣管內管位置異常警示系統
項目：成效指標 ⏩ 量化表現指標
醫院原始說明草稿：
""管路滑脫率, 0.23‰, 0%""
專家真實審查意見：
""請再做更詳細說明""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
持續維護與監控,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：監測計畫 ⏩ 持續維護與監控
醫院原始說明草稿：
""AI在臨床應用中，需配合九大透明性原則與可解釋性機制，如顯示AI判斷數值，避免黑箱決策。此外，建立生命週期管理監測，定期檢測AI效能並設立應變機制，敏感度低於0.786時進行模型再調整，此機制在醫師專業判斷下進行，並保障病人安全。""
專家真實審查意見：
""1. 純以敏感度單一指標估為模型在真實世界之表現之基準是否合宜？
2. 需定義醫師要如何判斷之規則，這裏可能是管理者依醫品病安機制介入""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
更新與持續驗證計畫,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：版本更新計畫 ⏩ 更新與持續驗證計畫
醫院原始說明草稿：
""依生命週期進行模型檢討修正""
專家真實審查意見：
""未提供具體之迭代或修正計畫""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
量化表現指標,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：成效指標 ⏩ 量化表現指標
醫院原始說明草稿：
""跌倒發生率, 0.027%, 0.015%""
專家真實審查意見：
""內容不明確，無法了解內容意義，建議具體說明使用率，或應該要描述導入前後跌倒發生率的變化之真實世界效應，或是正確推測跌倒風險而有介入行為之次數等""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
開發詳情及輸入特徵,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：介入開發詳情及輸入特徵 ⏩ 開發詳情及輸入特徵
醫院原始說明草稿：
""1.採用.NET平臺架構，並以Model–view–controller（MVC）架構和模組化設計。
2.通過HL7 FHIR、LOINC和SNOMED CT等標準的應用，實現全國範圍內的數據互操作性和標準化。
3.透過生理徵象儀器、檢驗儀器、檢查儀器自動上傳數據，護理端評估輸入HIS系統後自動轉入分析系統。""
專家真實審查意見：
""1. 需說明使用之AI模型
2. 請確定此資料正確，使用那一個IG？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
確保公平性的過程,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：確保介入開發公平性的過程 ⏩ 確保公平性的過程
醫院原始說明草稿：
""1.透過護理作業身體評估、現況用藥、管路，手術資訊、生理徵象、檢驗數值等自動擷取數據。
2.無法抓取相關資料時會顯示遺漏值，可即時檢查並改正。""
專家真實審查意見：
""此部份應要先去了解什麼是公平性，譬如要著重於不同種類、性別，病情嚴重度者是否包涵在模型訓練及服務範疇等""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
外部驗證過程,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：外部驗證過程 ⏩ 外部驗證過程
醫院原始說明草稿：
""資料來源:長庚醫院住院病患資料
監管單位:長庚醫院品質管理部、嘉義長庚品管中心
智慧醫療委員會定期會議檢討準確性。""
專家真實審查意見：
""1. 訓練資料集及驗證資料集需確實說明，其來源、年份、醫院分院等等
2. 是否經由負責任AI中心執行檢討？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
量化表現指標,"【審查專家真實退件與修正案例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型：住院病人跌倒預測
項目：模型表現量化指標 ⏩ 量化表現指標
醫院原始說明草稿：
""現場資料比對，以確認帶入數值是否正確；跌倒預測的正確性、實際發生跌倒的比率；無法抓取相關資料時會顯示遺漏值，由臨床人員可即時檢查並改正。""
專家真實審查意見：
""要請工研院確定，這一欄要填的是什麼東西？什麼是模型表現量化指標？""
【專家系統審計指南】當使用者草稿與上述原始說明有相似遺漏或定義不清時，必須引用此審查意見進行退件，並給出具體補正範本。"
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：介入詳情及輸出
核准填報內容：
""1.運用機器學習對住院病患住院中跌倒事件進行預測。
2.識別高跌倒風險的病人。
3使用臨床判斷決定使用哪種跌倒預防策略來減少跌倒風險。
4.簡化護理師跌倒風險評估流程，及預測病人跌倒因子進而加強護理衛教指導，降低病人傷害嚴重度。"""
介入目的,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：介入目的
核准填報內容：
""每年約有 70 萬至 100 萬住院病人跌倒，導致約 25 萬人受傷，最多可達 1.1 萬人死亡。約 2%的住院病人在住院期間至少跌倒一次。大約四分之一的跌倒會 導致受傷，(約28%受輕傷、11.4%受重度軟組織損傷、5%骨折、約 2%頭部受傷)，可能導致長期殘疾或早逝。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：警告與範圍外使用
核准填報內容：
""1.僅適用於18歲以上住院病人
2.對於非住院病人及未滿18歲個案不適用。護理之家、日照中心等機構亦不適用"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：開發詳情及輸入特徵
核准填報內容：
""1.採用.NET平臺架構，並以Model–view–controller（MVC）架構和模組化設計。
2.通過 HL7 FHIR、LOINC 和 SNOMED CT 等標準的應用，實現全國範圍內的 數據互操作性和標準化。
3.透過生理徵象儀器、檢驗儀器、檢查儀器自動上傳數據，護理端評估輸入HIS系統後自動轉入分析系統。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：確保公平性的過程
核准填報內容：
""1.透過護理作業身體評估、現況用藥、管路，手術資訊、生理徵象、檢驗數值等自動擷取數據。
2.無法抓取相關資料時會顯示遺漏值，可即時檢查並改正。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：外部驗證過程
核准填報內容：
""資料來源:長庚醫院住院病患資料
監管單位:長庚醫院品質管理部、嘉義長庚品管中心
智慧醫療委員會定期會議檢討準確性。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：量化表現指標
核准填報內容：
""現場資料比對，以確認帶入數值是否正確
跌倒預測的正確性、實際發生跌倒的比率
無法抓取相關資料時會顯示遺漏值，由臨床人員可即時檢查並改正。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：持續維護與監控
核准填報內容：
""嘉義長庚試行後推展至長庚體系各院區，並於使用後每半年檢討各院區預測準確性，適時檢討相關變項。
透過對病人與家屬的衛教預防跌倒發生，監控跌倒發生率。
未來納入個案討論，回溯性檢討預測準確性。
住院病患跌倒事件由病安委員會逐案記錄並每季檢討。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：更新與持續驗證計畫
核准填報內容：
""每半年依實際發生個案訓練更新模型，住院病患跌倒事件由病安委員會逐案記錄並每季檢討。對有傷害事件提出原因分析及改善計劃，並同時檢討模型之正確性。在每季檢討中若模型效能為達到預期，將視需要增加變數或以其他方式重新訓練模型。"""
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：長庚醫療財團法人嘉義長庚紀念醫院
AI模型案名：住院病人跌倒預測
指標項目：可解釋性分析
核准填報內容：
""強化如Attention weights,，Embedding analysis及其他先進解釋性AI技術的導入，以更全面、更深入地解釋AI模型之決策邏輯，進一步增強醫護團隊及病患對AI預測結果之理解與信任。"""
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：介入詳情及輸出
核准填報內容：
""採用機器學習演算法，開發了一個透析中低血壓風險預測模型，輔助透析護理團隊能夠更快速且更高效地管理透析中低血壓。低血壓風險預測機率小於50%傾向部會發生，大於等於50%傾向會發生，數值越大，風險越大。"""
介入目的,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：介入目的
核准填報內容：
""持續監測接受血液透析患者的狀況，即時顯示每位患者發生透析中低血壓的概率，輔助團隊能更快速有效的提早處理。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：警告與範圍外使用
核准填報內容：
""本AI軟體適用範圍於奇美醫療體系三院區的血液透析室。
本AI軟體與醫院的HIS整合，於血液透析室接受血液透析病人才能預測，不會有誤用情形。"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：開發詳情及輸入特徵
核准填報內容：
""我們成立專案團隊，包含臨床醫師、護理師、數據分析師和資訊工程師，並定期舉行會議討論，研究數據回顧性收集，自2020年9月1日至2020年12月31日，年齡≥20歲之患者。共使用30個features: age、sex、前次透析藥水鈣濃度、前次CT ratio、pre-dialysis weight、SBP、DBP、PR、前次洗腎後體重、前次UF volume、前次Albumin本次Albumin、體溫、UF rate、conductivity、veinpressore、Blood flow、VB ratio、Hb Albumin、Na、Ca、BUN、K、PM、CAD、CHF、Stroke、Liver、PAD。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：確保公平性的過程
核准填報內容：
""回朔性資料來自奇美醫院永康院區去識別的電子病歷資料，自2020年9月1日至2020年12月31日，年齡≥20的洗腎病人，無篩選病人，對於臨床資料和透析紀錄不完整者排除。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：外部驗證過程
核准填報內容：
""高雄醫學大學附設中和醫院。驗證結果 AUC 0.905，顯示模型具良好一般性(外推性)。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：量化表現指標
核准填報內容：
""AUC 0.94、Accuracy 0.86、Sensitivity 0.86、Specificity 0.86。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：持續維護與監控
核准填報內容：
""採用網路化醫院資訊系統，軟體自動派送，將此預測系統連上院內每部電腦。上線後，每年進行一次系統評估以決定是否續用或更新。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：更新與持續驗證計畫
核准填報內容：
""每年進行系統評估，透過三院區資料收集驗證(不篩選病人)。當AI模型品質的AUC低於0.8時，須暫停使用並改進；低血壓發生率>10%亦須暫停使用與改進。"""
可解釋性分析,"【官方核准登錄高分範例】
填報醫院：奇美醫療財團法人奇美醫院
AI模型案名：運用AI風險預測系統降低透析中低血壓發生率
指標項目：可解釋性分析
核准填報內容：
""使用模型之特徵重要性圖（SHAP圖）說明模型預測時各項特徵對風險分數的相對影響，作為模型可解釋性與臨床檢視之依據。"""
介入詳情及輸出,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：介入詳情及輸出
核准填報內容：
""本系統使用無線射頻（毫米波雷達）感測器對臥床使用者進行生理數值非接觸偵測，藉由演算法分析波形振動模式以理解胸腔運動情況，估算呼吸率、心率並記錄，並於異常值出現時提醒。
• 輸入：無線射頻電波的反射訊號（反映使用者的胸腔運動）
• 輸出：呼吸率、心率（每日24小時不間斷監測與記錄）
• 可由系統介面檢視即時數值、趨勢與異常提醒"""
介入目的,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：介入目的
核准填報內容：
""輔助記錄使用者的生命徵象（紀錄可隨時存取），並於異常值出現時提醒，以降低醫事／照護人員負擔。其數值紀錄與異常提醒旨在提供專業人員參考、輔助其進行醫療／照護決策。"""
警告與範圍外使用,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：警告與範圍外使用
核准填報內容：
""• 本系統之數值輸出或紀錄不應作為醫療／照護決策上的單獨判斷依據，專業人員應於需要時使用傳統量測方式複驗。
• 本系統不適用配戴心律調節器的患者。"""
開發詳情及輸入特徵,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：開發詳情及輸入特徵
核准填報內容：
""系統以無線射頻感測器的反射波形為輸入（波形反映胸腔運動情況），並以演算法估算呼吸率與心率。
• 呼吸率：非AI的傳統演算法分析波形起伏以估算。
• 心率：卷積神經網路（CNN）分析波形細部振動以估算。
– CNN 以網路中的「卷積層」自輸入抽取特徵，後段網路基於特徵運算。
– 訓練資料含同時採集之（1）輸入：波形資料（2）標準：認證醫材輸出之心率。
– 資料來自多個醫療院所、不同性別與年齡範圍，涵蓋大範圍數值。
– 因波形純粹反映心跳的物理運動，族群、膚色等差異對性能無影響。"""
確保公平性的過程,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：確保公平性的過程
核准填報內容：
""心率模型訓練樣本來自多個醫療院所：分布於 38–119 bpm；兩家不同層級、地區之醫院，男性 207 位、女性 80 位，年齡 22–74 歲。
開發過程採用以下手法確保公平性與可靠性：
• 男女樣本平衡：在維持年齡分散前提下隨機取用男性資料使其不多於女性。
• 數值均勻涵蓋：於系統偵測範圍（40–120 bpm）內每 10 bpm 區間平均取用資料。
• 模型公平性／泛用性：採交叉驗證，比較各組性能以確認無過擬合、符合公平性。"""
外部驗證過程,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：外部驗證過程
核准填報內容：
""• 驗證資料不含於原始訓練、測試資料中。
• 與多個不同場域合作，包含醫院與照護機構（測試不同環境與病患群體，如健康、長期臥床、失智症等）。"""
量化表現指標,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：量化表現指標
核准填報內容：
""原廠外部驗證之性能指標：
• 呼吸率（範圍 7–38 rpm）：MAE 0.77 rpm；最大誤差 ±5% 或 ±2 rpm（較大者為準）。
• 心率（範圍 40–120 bpm）：MAE 1.93 bpm；最大誤差 ±8 bpm。
本院試行監測（880 筆抽樣，連續數值）：
• 呼吸率 MAE 約 ±3.34 rpm（20.91%）；心率 MAE 約 ±10.84 bpm；整體平均受設備對位等實務因素影響而未達標準，於精確對位時段誤差極小。
分類預警（混淆矩陣）：呼吸 敏感度 65.2%／特異度 79.2%／準確率 78.8%；心律 敏感度 3.0%／特異度 98.5%／準確率 89.5%。"""
持續維護與監控,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：持續維護與監控
核准填報內容：
""由專門團隊監控已佈署之系統，並隨時接收客戶回饋；系統亦不定期（最長一年）更新。"""
更新與持續驗證計畫,"【官方核准登錄高分範例】
填報醫院：新北仁康醫院
AI模型案名：緯創 BestShape VS AI 零接觸智能照護系統（長者照護）
指標項目：更新與持續驗證計畫
核准填報內容：
""開發團隊每一至二年以人體臨床試驗收集新樣本進行效能評估與訓練，以確保效能維持水準。若發現模型效能下降低於原經主管機關核定之效能，則立即通報機構端建請停用，待模型重新訓練並通過內部／外部驗證後方得恢復使用。"""
